distanza_quadratica_media,identificativo_calciatore,nome_calciatore,posizione_media_x,posizione_media_y,squadra_calciatore,tempo_medio_tra_eventi
445.5693039857226,3309,R. Varane,28.048780487804876,66.1951219512195,France,141.306027425
854.1708446152501,3476,I. Rakitić,55.149532710280376,28.261682242990656,Croatia,53.36447138679245
1320.551952662721,3682,A. Griezmann,57.87692307692308,43.353846153846156,France,86.16673428125
644.6982421875,69396,D. Vida,36.78125,33.6875,Croatia,89.45606258730159
630.271149887266,69409,Š. Vrsaljko,50.663366336633665,85.56435643564356,Croatia,55.551904179999994
1650.1901041666667,69616,A. Rebić,61.4375,54.1875,Croatia,86.5847334893617
2578.189035916824,135747,D. Subašić,49.78260869565217,74.73913043478261,Croatia,252.12830218181819
856.0924614743858,105361,I. Strinić,53.44897959183673,12.306122448979592,Croatia,97.48382833333334
966.9313590449956,7936,P. Pogba,42.53030303030303,60.78787878787879,France,85.52319438461538
708.0235486351402,8287,L. Modrić,56.22549019607843,69.88235294117646,Croatia,54.99755271287129
780.8504801097392,340646,B. Pavard,34.96296296296296,86.0,France,104.41274403773585
1645.326324142035,14812,I. Perišić,65.01408450704226,40.309859154929576,Croatia,80.92977785714285
996.1295036533132,14943,M. Mandžukić,65.41269841269842,58.22222222222222,Croatia,89.68399482258064
660.9522930132349,279545,L. Hernández,38.92982456140351,12.75438596491228,France,94.82255098214286
580.1179138321992,25381,H. Lloris,6.095238095238095,19.666666666666668,France,137.12839697560975
735.547394396865,25393,D. Lovren,40.27710843373494,68.04819277108433,Croatia,67.56766497560974
477.58355868036756,25397,S. Umtiti,25.674418604651162,30.72093023255814,France,126.80303266666667
669.414461247637,25437,B. Matuidi,43.45652173913044,19.91304347826087,France,92.45558064444445
910.7138692211578,353833,K. Mbappé,61.326530612244895,80.46938775510205,France,114.70817572916667
1142.920654296875,26010,O. Giroud,62.015625,51.96875,France,73.03128701587302
862.5257116620751,69968,M. Brozović,43.666666666666664,47.121212121212125,Croatia,43.275539419847334
