frequenza_eventi,nome_squadra,numero_cella_x,numero_cella_y
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.16400425985090522,Croatia,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
0.05098684210526316,France,4,4
